,sensors_Torque_cmd,sensors_TV_delta_torque,sensors_TC_Tmax_FL,sensors_TC_Tmax_FR,sensors_TC_Tmax_RL,sensors_TC_Tmax_RR,MISC_Pos_Trq_Limit_FL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_RR
0.6,-0.0,0.0,97.020686,99.438585,148.526677,150.94457,0.0,0.0,0.862237,0.931906
0.61,-0.0,0.0,97.012265,99.477037,148.494779,150.959545,0.0,0.0,0.861751,0.931402
0.62,-0.0,0.0,97.012221,99.476993,148.494712,150.959477,0.0,0.0,0.017379,0.018244
0.63,-0.0,0.0,96.989495,99.438675,148.53439,150.98357,0.0,0.0,0.860115,0.931101
0.64,-0.0,0.0,97.014434,99.401216,148.571721,150.958503,0.0,0.0,0.863027,0.933667
0.65,-0.0,0.0,97.043523,99.367858,148.599689,150.924024,0.0,0.0,0.86436,0.933187
0.66,-0.0,0.0,97.077283,99.354755,148.607485,150.884963,0.0,0.0,0.865123,0.932112
0.67,-0.0,0.0,97.08799,99.334308,148.631336,150.87766,0.0,0.0,0.864603,0.930174
0.68,-0.0,0.0,97.11659,99.300595,148.674282,150.85828,0.0,0.0,0.017491,0.018279
0.69,-0.0,0.0,97.100931,99.285003,148.697461,150.881539,0.0,0.0,0.017518,0.018283
0.7,-0.0,0.0,97.093744,99.309053,148.679019,150.894334,0.0,0.0,0.86864,0.931578
0.71,-0.0,0.0,97.039323,99.317077,148.675151,150.952904,0.0,0.0,0.867731,0.931566
0.72,-0.0,0.0,96.998468,99.354178,148.633308,150.989017,0.0,0.0,0.869129,0.934882
0.73,-0.0,0.0,96.968144,99.386127,148.587725,151.005702,0.0,0.0,0.868102,0.936147
0.74,-0.0,0.0,96.962151,99.442394,148.516518,150.996767,0.0,0.0,0.866679,0.936535
0.75,-0.0,0.0,96.907589,99.481373,148.473543,151.047327,0.0,0.0,0.863086,0.93466
0.76,-0.0,0.0,96.881084,99.501764,148.461126,151.0818,0.0,0.0,0.862418,0.936774
0.77,-0.0,0.0,96.885065,99.505853,148.467226,151.088008,0.0,0.0,0.862417,0.938184
